reporting_jurisdiction	CountyFIPS	other_jurisdiction	sewershed_population_served	sewage_travel_time	sample_location	sample_location_specify	wwtp_name	wwtp_jurisdiction	capacity_mgd	industrial_input	stormwater_input	influent_equilibrated	sample_type	composite_freq	sample_matrix	collection_storage_time	collection_storage_temp	solids_separation	concentration_method	extraction_method	pre_conc_storage_time	pre_conc_storage_temp	pre_ext_storage_time	pre_ext_storage_temp	tot_conc_vol	ext_blank	rec_eff_target_name	rec_eff_spike_matrix	rec_eff_spike_conc	pasteurized	pcr_target	pcr_gene_target	pcr_type	hum_frac_target_mic	hum_frac_target_chem	other_norm_name	quant_stan_type	num_no_target_control	sample_collect_date	sample_collect_time	time_zone	flow_rate	ph	conductivity	tss	collection_water_temp	equiv_sewage_amt	sample_id	lab_id	test_result_date	pcr_target_units	pcr_target_avg_conc	pcr_target_std_error	pcr_target_cl_95_lo	pcr_target_cl_95_up	pcr_target_below_lod	lod_sewage	ntc_amplify	rec_eff_percent	inhibition_detect	inhibition_adjust	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	major_lab_method	major_lab_method_desc	sample_first_reported	key_sewershed	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.hospitalBeds.capacity	actuals.icuBeds.capacity	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	metrics.icuCapacityRatio	metrics.bedsWithCovidPatientsRatio	metrics.bedsWithCovidPatientsRatioRolling10	metrics.weeklyCovidAdmissionsPer100k	metrics.weeklyCovidAdmissionsPer100kRolling10	metrics.icuCapacityRatioRolling10	actuals.newDeaths	metrics.newDeathsRolling7
wi	55109		14000		XXXX	XXXX	XXXX	wi	2.2				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.496		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-08-03	07:00	utc-05:00	1.483	7.28	1343.0		13.33	1.0	XXXX	XXXX	2021-08-06	copies/l wastewater	10495.0	-1.0			yes	66000.0	no	3.895	no	no	10325286.0	copies/l wastewater							2021-08-11 14:38:43	wi_182	91838.0	2021-07-24	2021-08-10	2021-08-17	2021-08-24	38469	35385	0.0	0.424	0.39	0.0	43	15.1	1.25	0.083							0.03500000000000472		4.150000000000029		1	0.125
mo	29063		9700		XXXX	XXXX	XXXX	mo	1.6				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.0216842161		sars-cov-2	n2	qpcr				rna	3	2021-08-31			1.0						XXXX	XXXX	2021-09-01	copies/l wastewater	30410.203362	9909.5836717	-1122.09	61942.5	no	1750.0	no	22.901900871	no	no									2021-09-08 19:11:37	mo_78	10944.0	2021-08-21	2021-09-07	2021-09-14	2021-09-21	3226	2817		0.257	0.225		2	18.2	0.87	0.112							0.12000000000000208		21.89999999999985		0	0.0
wi	55025		33000		XXXX	XXXX	XXXX	wi	6.2				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.476		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-07-13	06:13	utc-05:00	3.124	6.8	1538.0		17.8	1.0	XXXX	XXXX	2021-07-21	copies/l wastewater	14397.0	3563.0			yes	40000.0	no	0.75	no	no	14138397.0	copies/l wastewater							2021-07-23 19:32:56	wi_391	552536.0	2021-07-03	2021-07-20	2021-07-27	2021-08-03	389881	370078	0.0	0.713	0.677	0.0	19	3.1	1.39	0.021							0.020000000000004722		2.2999999999999927	0.9149999999999867	0	0.0
nc	37081		135821		XXXX	XXXX	XXXX	nc	18.0	2.5	no	no	24-hr flow-weighted composite		raw wastewater	153.0	4.0		membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	15.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.2	yes	sars-cov-2	n1	ddpcr	pepper mild mottle virus			rna	more than 3	2022-01-21	07:42		19.01						XXXX	XXXX	2022-01-27	copies/l wastewater	105000.0	-1.0	87500.0	122500.0	no	1070.0	no	44.0	no		19025000.0	copies/l wastewater							2022-01-28 15:31:45	nc_166	540521.0	2022-01-11	2022-01-28	2022-02-04	2022-02-11	337626	316849		0.629	0.59		645	176.5	0.73	0.28							0.22000000000000464		27.699999999999804	0.8399999999999849	6	4.25
wi	55127		14500		XXXX	XXXX	XXXX	wi	3.65				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.532		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-09-14	06:55	utc-05:00	1.211	7.8	1560.0			0.75	XXXX	XXXX	2021-09-17	copies/l wastewater	313870.0	12290.0			no	53000.0	no	7.125	no	no	23782984.0	copies/l wastewater							2021-09-24 16:27:18	wi_447	103953.0	2021-09-04	2021-09-21	2021-09-28	2021-10-05	51446	46962		0.495	0.452		118	40.9	1.02	0.079							0.10500000000000476		6.350000000000039	0.6299999999999867	1	0.5
mo	29101		61250		XXXX	XXXX	XXXX	mo	22.5				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.2905393245		sars-cov-2	n2	qpcr				rna	3	2021-08-09			13.06						XXXX	XXXX	2021-08-10	copies/l wastewater	447206.88171	38450.444569	324857.57	569556.2	no	1750.0	no	42.533061002	no	no									2021-08-16 22:02:55	mo_200	54219.0	2021-07-30	2021-08-16	2021-08-23	2021-08-30	18152	15242	0.0	0.336	0.282	0.0	18	53.4	0.97	0.146							0.17500000000000193		38.94999999999988	0.9999999999999922	0	0.25
mo	29097		12000		XXXX	XXXX	XXXX	mo	7.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.6388222282		sars-cov-2	n2	qpcr				rna	3	2021-04-19			3.69						XXXX	XXXX	2021-04-20	copies/l wastewater	510.3	265.77900908	-335.41	1356.01	yes	1750.0	no	9.4843930283	no	no									2021-07-08 20:47:03	mo_83	121648.0	2021-04-09	2021-04-26	2021-05-03	2021-05-10	30334	20930	0.0	0.25	0.173	0.0	19	8.4	0.93	0.041							0.020000000000001943		4.89999999999988	0.8299999999999923	0	0.0
wi	55105		36300		XXXX	XXXX	XXXX	wi	11.3				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.556		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-04-21	07:14	utc-05:00	4.272	7.2	2198.0		17.7	0.625	XXXX	XXXX	2021-05-03	copies/l wastewater	38942.0	5632.0			yes	100000.0	no	3.299	no	no	27597656.33	copies/l wastewater							2021-05-12 23:06:32	wi_55	163084.0	2021-04-11	2021-04-28	2021-05-05	2021-05-12	64610	42050	0.0	0.396	0.257	0.0	47	25.5	0.98	0.076							0.06500000000000472		11.300000000000011	0.6749999999999865	2	0.875
wi	55139		78300		XXXX	XXXX	XXXX	wi	20.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.046		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-02-16	07:00	utc-06:00	8.207	7.9	1232.0			1.0	XXXX	XXXX	2021-03-05	copies/l wastewater	55871.0	7822.0			no	40000.0	no	1.106	no	no	37869912.47	copies/l wastewater							2021-03-10 00:59:50	wi_302	171631.0	2021-02-06	2021-02-23	2021-03-02	2021-03-09	17416	3629	0.0	0.101	0.021	0.0	19	12.9	0.93	0.028							0.020000000000004774		1.3500000000000392	0.6499999999999867	1	0.125
va	51127		69059		XXXX	XXXX	XXXX	va	22.5		no		grab		raw wastewater				membrane filtration with acidification and mgcl2	nuclisens automated magnetic bead extraction kit	1.0	6.0	24.0	-80.0	25.0	yes	bcov vaccine	raw sample	8.096214585	no	sars-cov-2	ddcov_n	ddpcr				rna	2	2022-01-04	09:00		10.77						XXXX	XXXX	2022-01-05	copies/l wastewater	354000.0				no	2160.0	no	35.96153846	not tested										2022-02-07 06:23:53	va_588	23648.0	2021-12-25	2022-01-11	2022-01-18	2022-01-25	15279	13988		0.662	0.606		38	166.4	1.15	0.362							0.17500000000000426		46.74999999999987		0	0.0
wi	55093		15900		XXXX	XXXX	XXXX	wi	1.8				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.19		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-12-21	07:40	utc-06:00	1.346	7.61			16.5	0.625	XXXX	XXXX	2021-12-27	copies/l wastewater	444826.0	42192.0			no	100000.0	no	14.669	no	no	7219791.0	copies/l wastewater							2021-12-30 17:05:59	wi_344	42700.0	2021-12-11	2021-12-28	2022-01-04	2022-01-11	19587	17556		0.458	0.411		5	35.1	1.17	0.119							0.12500000000000466		7.799999999999991		1	0.25
ca	06013		484800		XXXX	XXXX	XXXX	ca	53.8	14.0	no	yes	24-hr flow-weighted composite	1.0	raw wastewater				none	4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n)	24.0	4.0	0.0		40.0	yes	bcov vaccine	raw sample	4.920023752	yes	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-03-10	07:07	utc-07:01	34.2					1.010375	XXXX	XXXX	2021-03-12	log10 copies/l wastewater	4.561798685	1.799985368			no	3.60206	no	18.47364818	no	no	7.61337782	log10 copies/l wastewater							2022-01-13 18:56:37	ca_88	1152333.0	2021-02-28	2021-03-17	2021-03-24	2021-03-31	244088	120190	0.0	0.212	0.104	0.0	77	8.1	0.91	0.021							0.03500000000000009		4.100000000000014	0.8099999999999985	0	2.125
wi	55133		22300		XXXX	XXXX	XXXX	wi	4.02				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.347		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-12-07	07:40	utc-06:00	2.524				11.6	0.625	XXXX	XXXX	2021-12-10	copies/l wastewater	907787.0	54832.0			no	100000.0	no	3.421	no	no	22896043.0	copies/l wastewater							2021-12-14 19:21:14	wi_297	406172.0	2021-11-27	2021-12-14	2021-12-21	2021-12-28	283048	258261		0.7	0.639		439	59.4	1.03	0.14							0.12500000000000477		33.45000000000004	0.6449999999999867	1	0.625
nc	37099		13296		XXXX	XXXX	XXXX	nc	3.5		no	no	24-hr flow-weighted composite	1.0	raw wastewater	75.0		filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit					25.0	yes	bcov vaccine	raw sample	4.31	yes	sars-cov-2	n1	ddpcr	pepper mild mottle virus			rna	1	2021-05-09	10:30		0.769	7.0	359.0	208.0	4.0	1.57	XXXX	XXXX	2021-05-13	copies/l wastewater	4818.0	-1.0	994.0	14089.0	no	4817.834667	no	2.43	no	no	11729746.77	copies/l wastewater							2021-09-01 15:28:09	nc_405	44033.0	2021-04-29	2021-05-16	2021-05-23	2021-05-30			0.0			0.0	0	1.8	0.88	0.013							0.010000000000002333			0.6899999999999922	0	0.0
mo	29071		15000		XXXX	XXXX	XXXX	mo	4.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.1012291508		sars-cov-2	n2	qpcr				rna	3	2021-12-06			2.48						XXXX	XXXX	2021-12-07	copies/l wastewater	183410.89211	4975.6421491	167578.4	199243.39	no	1750.0	no	27.505305011	no	no									2021-12-28 21:30:50	mo_429	104469.0	2021-11-26	2021-12-13	2021-12-20	2021-12-27	58648	52637		0.564	0.506		12	43.8	1.03	0.128							0.09000000000000205		19.54999999999987	0.9549999999999923	0	0.375
va	51800		197608		XXXX	XXXX	XXXX	va	30.0				grab		raw wastewater			centrifugation	innovaprep ultrafiltration	zymo quick-rna viral kit #r1035	0.0	4.0	0.0	4.0	40.0	yes	murine coronavirus	raw sample	3.176091259	no	sars-cov-2	ddcov_e	ddpcr				rna	2	2022-01-18	09:37		17.7						XXXX	XXXX	2022-01-21	copies/l wastewater	121321.0				no	5400.0	no	0.0553	not tested										2022-01-23 03:43:58	va_178	93913.0	2022-01-08	2022-01-25	2022-02-01	2022-02-08	63450	55749		0.689	0.605		78	175.4	0.7	0.345							0.1900000000000044		31.849999999999934	1.0549999999999873	0	1.0
ca	06085		153000		XXXX	XXXX	XXXX	ca	29.5				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-11-10	07:00	utc-07:00							XXXX	XXXX	2021-11-11	copies/g dry sludge	21640.9708				no	500.0	no	90.7	no	no	1540000000.0	copies/g dry sludge							2021-11-20 00:54:33	ca_354	1907105.0	2021-10-31	2021-11-17	2021-11-24	2021-12-01	1556790	1480289	183653	0.808	0.768	0.095	139	8.9	0.98	0.016							0.03		4.000000000000041	0.9149999999999985	4	2.0
wi	55089		615934		XXXX	XXXX	XXXX	wi	300.0				24-hr flow-weighted composite	1.7	raw wastewater			filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit							bcov vaccine	raw sample	4.518		sars-cov-2	n2	ddpcr	pepper mild mottle virus		hf183	rna	2	2020-09-17	00:00	utc-05:00	84.0			310.0		2.292	XXXX	XXXX	2020-09-20	copies/l wastewater	4980.0	530.428958485488	2078.4	10084.8	no	3412.8	no	6.618	not tested	no	19776529.92	copies/l wastewater			905048138.552395	copies/l wastewater	1		2021-02-18 18:48:01	wi_257	90043.0	2020-09-07	2020-09-24	2020-10-01	2020-10-08	0.0	0.0	0.0	0.0	0.0	0.0	25	22.1	1.05	0.073	252	65	14	10	0.77	0.04	0.04333333333333644	18.5	18.49999999999997	0.7733333333333244	1	0.125
co	08013		89383		XXXX	XXXX	XXXX	co	12.42				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2020-09-10	06:00		13.11						XXXX	XXXX	2020-09-10	copies/l wastewater	93823.97040257469		93823.97040257469	93823.97040257469	no	4000.0	no	0.06808074607374137	no						57106028.035127334	copies/l wastewater			2021-06-30 22:10:17	co_66	327171.0	2020-08-31	2020-09-17	2020-09-24	2020-10-01	0.0	0.0	0.0	0.0	0.0	0.0	74	22.5	1.29	0.042	573	66	12	2	0.73	0.02	0.0233333333333333	5.8	5.800000000000084	0.7099999999999987	0	0.25
nc	37129		67743		XXXX	XXXX	XXXX	nc	10.5	2.0	no	no	24-hr flow-weighted composite	5.0	raw wastewater	52.0	4.0		membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	0.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.11	yes	sars-cov-2	n1	ddpcr	pepper mild mottle virus			rna	more than 3	2021-05-03	06:55		6.38						XXXX	XXXX	2021-05-06	copies/l wastewater	2000.0	-1.0	500.0	5500.0	no	1070.0	no	11.0	no		43775000.0	copies/l wastewater							2021-05-07 14:28:08	nc_451	236613.0	2021-04-23	2021-05-10	2021-05-17	2021-05-24			0.0			0.0	60	11.5	0.77	0.053							0.03500000000000239		3.049999999999943	0.619999999999992	0	0.125
oh	39063		42000		XXXX	XXXX	XXXX	oh	15.0	4.88672425656281	yes		24-hr time-weighted composite		raw wastewater		4.0	none	innovaprep ultrafiltration	qiagen allprep powerviral dna/rna kit	24.0	4.0	0.0		40.0	no	bcov vaccine	raw sample	1.0	no	sars-cov-2	n2	dpcr	pepper mild mottle virus			dna	1	2022-01-25	01:00	utc-05:00	6.86999988555908	7.19999980926514		136.0	12.0500001907349		XXXX	XXXX	2022-01-28	copies/l wastewater	100450.0	-1.0			no	3000.0	no	9.3	no	no	1256650.0	copies/l wastewater					0	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2022-01-31 17:41:52	oh_147	75407.0	2022-01-15	2022-02-01	2022-02-08	2022-02-15	40097	37235	17517	0.529	0.491	0.231	48	89.7	0.55	0.199							0.1800000000000032		18.350000000000033	0.6699999999999915	1	0.375
wi	55093		15900		XXXX	XXXX	XXXX	wi	1.8				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.532		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-09-14	07:30	utc-05:00	1.399	7.39			13.1	1.0	XXXX	XXXX	2021-09-17	copies/l wastewater	186736.0	10063.0			no	66000.0	no	10.967	no	no	15748478.0	copies/l wastewater							2021-09-24 16:27:18	wi_344	42700.0	2021-09-04	2021-09-21	2021-09-28	2021-10-05	17598	16204		0.412	0.379		21	51.5	1.06	0.087							0.08500000000000466		6.949999999999991		0	0.0
wi	55133		72000		XXXX	XXXX	XXXX	wi	39.0				24-hr flow-weighted composite	0.1	raw wastewater			filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit							bcov vaccine	raw sample	4.399		sars-cov-2	n1	ddpcr	pepper mild mottle virus		hf183	rna	3	2020-11-16	08:00	utc-06:00	7.017	7.6	2480.0	444.0	4.0	1.501	XXXX	XXXX	2020-11-19	copies/l wastewater	19581.4102325581		11784.022	30588.625	no	3092.573	no	0.334	no	no	22032310.9953488	copies/l wastewater			222482304.219898	copies/l wastewater	1		2021-02-18 18:48:01	wi_431	406172.0	2020-11-06	2020-11-23	2020-11-30	2020-12-07	0.0	0.0	0.0	0.0	0.0	0.0	172	181.0	0.89	0.17							0.15500000000000239		61.25000000000004	0.8449999999999933	3	8.125
ut	49043		7888		XXXX	XXXX	XXXX	ut	4.0				6-hr manual composite		raw wastewater	1.5	4.0	centrifugation	promega wastewater large volume tna capture kit	promega manual tna kit	18.1666666666667	4.0	1.0	4.0	20.0		oc43	raw sample	3.5	no	sars-cov-2	n1 and n2 combined	qpcr				rna	1	2021-09-28	07:43	utc-06:00	1.4					2.5	XXXX	XXXX	2021-09-30	copies/l wastewater	403610.0	14884.089939708552			no	3000.0	no	92.33	not tested								2	uphl uses substantially different concentration and extraction methods from the previous labs. results may not be comparable.	2021-10-01 17:07:33	ut_23	42499.0	2021-09-18	2021-10-05	2021-10-12	2021-10-19	35716	30469		0.847	0.723		14	33.2	0.98	0.071							0.09000000000000435		14.699999999999866	0.8649999999999873	0	0.0
ca	06075		250000		XXXX	XXXX	XXXX	ca	43.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-06-26	07:00	utc-07:00							XXXX	XXXX	2021-06-27	copies/g dry sludge	22305.39264				no	500.0	no	118.2	no	no	693000000.0	copies/g dry sludge							2021-07-03 00:00:40	ca_362	866606.0	2021-06-16	2021-07-03	2021-07-10	2021-07-17	651886	607505	0.0	0.739	0.689	0.0	0	1.9	1.46	0.013							0.01		0.5000000000000728	0.6699999999999969	0	0.125
wi	55127		8430		XXXX	XXXX	XXXX	wi	2.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.476		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-07-06	07:15	utc-05:00	1.162	7.74	1670.0		13.6	1.0	XXXX	XXXX	2021-07-08	copies/l wastewater	14005.0	1268.0			yes	66000.0	no	7.292	no	no	35274498.0	copies/l wastewater							2021-07-13 18:30:47	wi_212	103953.0	2021-06-26	2021-07-13	2021-07-20	2021-07-27	45612	42084	0.0	0.439	0.405	0.0	3	2.5	1.12	0.014							0.015000000000004746			0.5549999999999866	0	0.125
nz	36047		906441		XXXX	XXXX	XXXX	ny	120.0		yes	no		1.0	raw wastewater		4.0	none	membrane filtration with addition of mgcl2	luminultra wastewater extraction kit		4.0		-20.0	50.0	yes	oc43	raw sample	6.0	no	delta	wt214	qpcr	pepper mild mottle virus			rna	2	2022-01-31		utc-05:00		7.4	1943.0		1.0	2.0	XXXX	XXXX	2022-02-04	copies/l wastewater	0.0	0.0				1498.6	no	34.82	no	no	157299107.1	copies/l wastewater								ny_551	2538934.0	2022-01-21	2022-02-07	2022-02-14	2022-02-21	2112407	1746167	551949	0.825	0.682	0.216	429	31.1	0.55	0.034							0.08500000000000195		11.849999999999893	0.8399999999999928	18	10.875
wi	55133		51000		XXXX	XXXX	XXXX	wi	12.5				24-hr flow-weighted composite	0.35	raw wastewater			filtration	membrane filtration with addition of mgcl2	promega automated tna kit							bcov vaccine	raw sample	4.522		sars-cov-2	n1	ddpcr	pepper mild mottle virus		hf183	rna	1	2021-09-01	07:10	utc-05:00	7.34	7.7	2700.0	236.0	9.2	0.859	XXXX	XXXX	2021-09-07	copies/l wastewater	60825.6		42342.4	84608.0	no	5196.8	no	3.196	no	no	233226240.0	copies/l wastewater					2	new extraction method, switch to kingfisher		wi_153	406172.0	2021-08-22	2021-09-08	2021-09-15	2021-09-22	251184	234204		0.621	0.579		382	30.6	1.05	0.086							0.09000000000000477		25.600000000000044	0.5549999999999866	0	0.0
wi	55003		8200		XXXX	XXXX	XXXX	wi	1.92				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.96		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-09-22	08:10	utc-05:00	0.66	7.62	674.0		2.4	2.0	XXXX	XXXX	2020-09-25	copies/l wastewater	9148.0	2991.0			yes	33000.0	no	0.37	no	no	11850440.0	copies/l wastewater							2021-02-18 18:48:01	wi_44	15415.0	2020-09-12	2020-09-29	2020-10-06	2020-10-13	0.0	0.0	0.0	0.0	0.0	0.0	12	50.5	1.05	0.09							0.05666666666666975		9.899999999999984	0.5099999999999932	1	0.125
mo	29097		34403		XXXX	XXXX	XXXX	mo	15.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.7518982444		sars-cov-2	n2	qpcr				rna	3	2021-09-20			8.19						XXXX	XXXX	2021-09-21	copies/l wastewater	17682.435167	6748.5560702	-3791.47	39156.34	no	1750.0	no	12.305111656	no	no									2021-09-28 22:05:59	mo_192	121648.0	2021-09-10	2021-09-27	2021-10-04	2021-10-11	55913	48320		0.461	0.398		7	20.6	0.83	0.064							0.08500000000000194		7.89999999999988	0.7549999999999923	0	1.25
mo	29189		27391		XXXX	XXXX	XXXX	mo	4.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.255315857		sars-cov-2	n1	qpcr				rna	3	2021-08-30			2.442						XXXX	XXXX	2021-08-31	copies/l wastewater	127546.73901	17518.316555	71803.46	183290.02	no	1750.0	no	3.9219601035	no	no									2021-09-08 19:11:37	mo_293	994020.0	2021-08-20	2021-09-06	2021-09-13	2021-09-20	587229	509446		0.591	0.512		84	28.2	1.0	0.09							0.09500000000000167		19.499999999999982	0.914999999999992	0	4.125
co	08069		92126		XXXX	XXXX	XXXX	co	10.177				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2022-01-10	07:00		10.382						XXXX	XXXX	2022-01-10	copies/l wastewater	834713.5664777056		38463.79743635864	45019.01688060692	no	4000.0	no	0.20052589758918848	no		1206004.9980774987				40566402.56821904	copies/l wastewater			2022-01-17 18:33:46	co_151	360428.0	2021-12-31	2022-01-17	2022-01-24	2022-01-31	256120	232664	106549	0.718	0.652	0.299	1909	215.8	1.02	0.25							0.14500000000000002		30.650000000000027	0.6499999999999979	4	2.2857142857142856
mo	29101		61250		XXXX	XXXX	XXXX	mo	22.5				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.8345638288		sars-cov-2	n2	qpcr				rna	3	2021-05-24			18.28						XXXX	XXXX	2021-05-25	copies/l wastewater	7008.168745	2119.76968	263.06	13753.28	no	1750.0	no	14.885078976	no	no									2021-07-08 20:47:03	mo_200	54219.0	2021-05-14	2021-05-31	2021-06-07	2021-06-14	14538	12527	0.0	0.269	0.232	0.0	0	2.6	0.98	0.03							0.03500000000000193		6.249999999999883	0.8799999999999923	0	0.0
wi	55035		73000		XXXX	XXXX	XXXX	wi	12.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.92		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2020-10-16	06:00	utc-05:00	8.01	7.51	1077.0		19.5	2.0	XXXX	XXXX	2020-10-21	copies/l wastewater	70728.0	11321.0			no	20000.0	no	0.02	no	no	26888191.16	copies/l wastewater							2021-05-21 16:10:05	wi_136	105260.0	2020-10-06	2020-10-23	2020-10-30	2020-11-06	0.0	0.0	0.0	0.0	0.0	0.0	93	53.4	1.32	0.155	481	41	83	13	0.81	0.16	0.14000000000000473		31.29999999999998	0.7999999999999868	2	1.25
mo	29027		41153		XXXX	XXXX	XXXX	mo	11.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.9658218803		sars-cov-2	n2	qpcr				rna	3	2021-10-26			5.2						XXXX	XXXX	2021-10-27	copies/l wastewater	30825.347042	3547.1648668	19538.27	42112.43	no	1750.0	no	20.137668845	no	no									2021-11-04 17:03:17	mo_190	44887.0	2021-10-16	2021-11-02	2021-11-09	2021-11-16	20988	18803		0.469	0.42		33	26.5	1.09	0.086							0.06500000000000217		6.4499999999998465		1	0.14285714285714285
va	51700		118497		XXXX	XXXX	XXXX	va	25.0		no		grab		raw wastewater				membrane filtration with acidification and mgcl2	nuclisens automated magnetic bead extraction kit	1.0	6.0	24.0	-80.0	25.0	yes	bcov vaccine	raw sample	8.096214585	no	sars-cov-2	ddcov_n	ddpcr				rna	2	2022-01-04	09:00		24.77						XXXX	XXXX	2022-01-05	copies/l wastewater	168000.0				no	2160.0	no	10.76923077	not tested										2022-02-07 06:23:53	va_584	179062.0	2021-12-25	2022-01-11	2022-01-18	2022-01-25	127771	114510		0.713	0.639		389	281.4	1.09	0.457							0.2200000000000044		24.24999999999993	0.7399999999999873	0	0.25
ut	49049		94484		XXXX	XXXX	XXXX	ut	15.0				24-hr flow-weighted composite		raw wastewater	4.46666666666667	2.22	centrifugation	promega wastewater large volume tna capture kit	promega manual tna kit	20.7833333333333	4.0	1.0	4.0	20.0		oc43	raw sample	3.5	no	sars-cov-2	n1 and n2 combined	qpcr				rna	1	2021-09-13	07:15	utc-06:00	7.96					2.5	XXXX	XXXX	2021-09-16	copies/l wastewater	1640680.0	62203.718002490285			no	3000.0	no	82.24	not tested								2	uphl uses substantially different concentration and extraction methods from the previous labs. results may not be comparable.	2021-09-17 19:09:11	ut_11_3	651059.0	2021-09-03	2021-09-20	2021-09-27	2021-10-04	318712	253340		0.501	0.398		674	43.0	0.96	0.121							0.10000000000000436		13.599999999999874	0.8499999999999871	1	1.625
